Client_ID;Nom_Client;Genre;Age;Region;Type_Pret;Revenu_Mensuel_CFA;Montant_Pret_CFA;Duree_Mois;Taux_Interet;Garantie;Date_Debut;Ratio_Remboursement;Paiements_Manques;Score_Credit;Statut_Pret
CLI00001;êric Bonnet;Homme;22;Korhogo;Transport;656778;2104301;12;7,79;Oui;2026-02-05;0,21;14;484;DÇfaut
CLI00002;DorothÇe Ribeiro;Homme;22;BouakÇ;Transport;276493;1884068;12;15,11;Non;2021-06-14;0,13;9;523;DÇfaut
CLI00003;Martin Brunet de Leblanc;Femme;21;Abidjan;Transport;414829;3595146;18;10,56;Oui;2022-08-29;0,34;11;511;DÇfaut
CLI00004;Pauline Perrot;Homme;43;Korhogo;Immobilier;801327;2268961;6;19,59;Oui;2022-11-19;0,69;4;738;En retard
CLI00005;Christophe De Oliveira;Femme;57;BouakÇ;Commerce;483258;633470;6;18,23;Oui;2021-08-30;0,95;0;732;Actif
CLI00006;Marthe-Madeleine Navarro;Femme;38;Korhogo;SantÇ;1030870;3110434;12;12,4;Oui;2024-12-26;0,33;10;562;DÇfaut
CLI00007;êtienne Seguin;Homme;55;Daloa;Immobilier;593405;1420719;24;12,59;Oui;2023-08-16;1,19;0;808;SoldÇ
CLI00008;Anaãs Meunier;Homme;35;BouakÇ;SantÇ;147319;2696211;24;10,35;Non;2024-12-27;0,33;15;418;DÇfaut
CLI00009;Jacques Monnier du Allain;Femme;46;Daloa;Education;1042282;1248493;18;7,79;Non;2025-03-26;0,92;0;772;Actif
CLI00010;Yves êtienne;Femme;58;Abidjan;Commerce;917603;3086646;12;24,95;Oui;2024-11-24;0,25;13;522;DÇfaut
CLI00011;Laurence PrÇvost;Homme;61;Korhogo;Commerce;415506;3591334;36;6,27;Non;2024-12-20;0,52;4;607;En retard
CLI00012;Dominique Berger-Rodriguez;Homme;64;Korhogo;Agriculture;639572;2903598;6;10,87;Non;2023-01-21;0,27;6;596;DÇfaut
CLI00013;FrÇdÇrique Regnier;Homme;61;Korhogo;Immobilier;705884;4308584;36;8,98;Oui;2022-12-31;0,51;2;697;En retard
CLI00014;Nathalie Munoz;Femme;22;Abidjan;SantÇ;314603;3094903;18;9,79;Oui;2024-04-23;0,36;15;323;DÇfaut
CLI00015;Xavier du Poirier;Femme;25;Yamoussoukro;Education;1197165;1104955;12;18,2;Oui;2024-10-18;1,14;0;739;SoldÇ
CLI00016;Guillaume-Antoine Buisson;Femme;34;Korhogo;Transport;501844;2664865;24;24,9;Non;2021-11-05;0,81;0;701;Actif
CLI00017;RenÇ Bertin;Homme;36;Abidjan;Commerce;551224;587088;18;5,42;Oui;2026-01-06;0,71;5;608;En retard
CLI00018;StÇphanie Lemoine;Homme;35;Korhogo;Agriculture;221348;313510;18;6,42;Oui;2022-10-03;0,36;13;471;DÇfaut
CLI00019;William Bonnet;Femme;36;San Pedro;Transport;1071896;3464666;12;6,89;Non;2022-10-17;0,82;0;736;Actif
CLI00020;Laurence Olivier;Femme;24;BouakÇ;Agriculture;286397;558455;24;19,56;Oui;2025-10-06;0,98;0;666;Actif
CLI00021;ThÇodore Gauthier;Homme;55;Korhogo;Commerce;1020810;1225934;24;8,67;Non;2025-10-16;0,61;1;828;En retard
CLI00022;Benjamin de la Lejeune;Homme;62;Abidjan;Agriculture;110949;832344;12;8,33;Non;2026-02-22;0,63;2;653;En retard
CLI00023;Agnäs David;Femme;21;BouakÇ;Agriculture;898773;2274684;24;10,7;Non;2021-06-12;0,87;0;769;Actif
CLI00024;Victoire Hamon;Femme;34;Korhogo;Education;202648;4908516;36;6,22;Non;2022-03-01;0,44;6;494;DÇfaut
CLI00025;Sabine Brun de Devaux;Homme;24;Abidjan;Education;1144993;722023;12;6,37;Non;2024-01-12;0,17;9;605;DÇfaut
CLI00026;Josette Torres;Homme;58;BouakÇ;SantÇ;163344;737726;24;18,15;Non;2023-01-11;0,72;3;653;En retard
CLI00027;David Loiseau-Brunel;Femme;36;Abidjan;Transport;637034;3370092;12;18,43;Oui;2022-12-23;0,43;11;463;DÇfaut
CLI00028;StÇphane Marchal du Chauveau;Homme;25;Yamoussoukro;Immobilier;527016;4293668;18;7,65;Oui;2023-03-02;0,48;1;704;En retard
CLI00029;Marguerite Foucher;Homme;49;Yamoussoukro;Commerce;714424;4487076;6;18,36;Oui;2022-08-24;0,71;1;682;En retard
CLI00030;Thibaut Charpentier;Homme;56;Daloa;SantÇ;405997;2334622;18;17,1;Oui;2024-11-02;0,89;0;705;Actif
CLI00031;Agnäs LÇvàque;Femme;53;Abidjan;Immobilier;1104525;2156557;6;6,85;Oui;2025-05-08;0,57;3;704;En retard
CLI00032;Guy Imbert;Homme;61;Abidjan;SantÇ;629360;1405447;24;16,03;Oui;2022-12-07;0,57;1;802;En retard
CLI00033;Laure Blondel;Homme;55;Yamoussoukro;Commerce;155556;3147208;36;16,05;Non;2025-09-27;0,57;1;663;En retard
CLI00034;Christelle Delorme;Femme;34;Korhogo;SantÇ;603301;912295;18;20,6;Non;2024-05-05;1,07;0;708;SoldÇ
CLI00035;Madeleine Dias;Homme;36;San Pedro;SantÇ;420790;1535222;24;5,5;Non;2023-05-20;0,91;0;759;Actif
CLI00036;AdÇlaãde Guichard de la Maury;Homme;38;BouakÇ;Transport;413862;956771;24;22,44;Oui;2025-06-03;1,04;0;682;SoldÇ
CLI00037;Emmanuel GrÇgoire;Femme;40;Yamoussoukro;Immobilier;557302;1920018;6;18,2;Oui;2024-02-15;0,54;3;684;En retard
CLI00038;Franck Fernandez de Denis;Femme;64;Abidjan;Commerce;774471;281530;6;22,54;Non;2023-08-26;0,39;15;396;DÇfaut
CLI00039;Jean Dupuis-Breton;Femme;43;Yamoussoukro;Commerce;737829;3710737;36;24,68;Oui;2022-03-13;0,23;15;383;DÇfaut
CLI00040;Franck de la Merle;Femme;21;Daloa;Commerce;1170351;4566862;12;12,28;Non;2021-07-11;0,18;11;559;DÇfaut
CLI00041;Alice du Mahe;Femme;53;San Pedro;SantÇ;728616;3475848;18;13,05;Oui;2024-01-27;0,43;8;607;DÇfaut
CLI00042;Nathalie Letellier;Femme;64;Yamoussoukro;Agriculture;444961;4824000;18;13,12;Non;2022-06-03;1,02;0;703;SoldÇ
CLI00043;Denise Masse;Femme;58;Daloa;Commerce;755805;3950603;24;13,84;Oui;2025-06-04;0,34;13;471;DÇfaut
CLI00044;Margaret Diallo Le Clerc;Femme;53;Abidjan;Commerce;782940;833388;12;18,46;Oui;2023-12-21;0,35;9;577;DÇfaut
CLI00045;Lucas Pelletier;Homme;51;San Pedro;Agriculture;232731;3870307;24;22,72;Non;2022-04-21;0,73;4;545;En retard
CLI00046;StÇphane Berger;Homme;62;Abidjan;Education;91628;944119;24;9,38;Non;2023-03-03;0,98;0;670;Actif
CLI00047;Pauline Munoz;Homme;28;San Pedro;Education;1037269;1168529;24;18,35;Non;2025-08-12;1,19;0;773;SoldÇ
CLI00048;Matthieu De Sousa;Femme;56;Korhogo;Transport;1015148;1385113;24;14;Non;2023-02-08;0,93;0;829;Actif
CLI00049;PÇnÇlope Martins de Marques;Homme;38;BouakÇ;Agriculture;1002479;699977;18;9,69;Oui;2025-05-06;0,47;5;706;En retard
CLI00050;StÇphane Grondin;Homme;45;Abidjan;Agriculture;400455;1844766;6;13,3;Non;2021-08-31;0,46;4;571;En retard
CLI00051;Gilles Menard;Femme;45;San Pedro;Transport;120961;4879240;24;14,54;Non;2025-03-27;1,14;0;676;SoldÇ
CLI00052;Vincent Descamps;Homme;52;San Pedro;Agriculture;540160;2339547;24;14,71;Oui;2023-08-06;0,53;4;635;En retard
CLI00053;Aurore Bodin;Homme;46;San Pedro;Immobilier;136837;754202;24;7,71;Non;2024-05-30;0,61;1;659;En retard
CLI00054;Joseph Jacquot;Homme;50;Yamoussoukro;Commerce;765445;2881159;24;10,57;Non;2023-12-18;1,15;0;772;SoldÇ
CLI00055;Henri Maillot;Femme;22;Abidjan;Agriculture;189231;2985680;12;18;Oui;2022-08-08;0,96;0;730;Actif
CLI00056;Victor Toussaint;Homme;22;Daloa;Immobilier;399568;2051060;12;14,47;Non;2025-10-14;0,23;9;576;DÇfaut
CLI00057;Georges Ribeiro-Ribeiro;Femme;31;San Pedro;SantÇ;320192;1423767;18;7,16;Non;2024-07-19;0,13;10;484;DÇfaut
CLI00058;Arnaude Muller;Homme;25;Korhogo;Commerce;589292;904810;18;22,01;Oui;2025-02-06;0,76;0;737;Actif
CLI00059;Alphonse de la Leclercq;Femme;55;Abidjan;Transport;978373;3158573;6;15,12;Non;2024-04-13;0,48;4;699;En retard
CLI00060;Alexandre Hamon;Femme;61;San Pedro;Transport;1044143;1333382;24;8,52;Non;2022-03-16;0,67;3;770;En retard
CLI00061;Virginie Bouvet;Femme;41;Yamoussoukro;Commerce;594840;776981;18;22,63;Non;2024-08-06;0,37;13;472;DÇfaut
CLI00062;Isaac Boucher;Femme;41;Korhogo;Commerce;461345;4139865;12;12,1;Non;2023-09-10;0,38;10;497;DÇfaut
CLI00063;Xavier-Charles Morin;Homme;26;San Pedro;Commerce;586160;3459366;24;16,1;Non;2025-02-22;0,36;13;419;DÇfaut
CLI00064;AimÇ Laporte;Homme;39;San Pedro;SantÇ;544721;3442362;12;11,12;Non;2023-03-03;0,74;4;592;En retard
CLI00065;êlÇonore Joly-Regnier;Femme;43;Abidjan;SantÇ;1031572;2322611;18;10,03;Non;2022-03-11;0,23;9;632;DÇfaut
CLI00066;Caroline de la Dumont;Homme;33;Abidjan;Agriculture;533791;4111752;18;19,49;Non;2025-12-03;1,17;0;766;SoldÇ
CLI00067;êdith Lombard-Clerc;Femme;35;Abidjan;Education;836822;1555264;18;5,28;Oui;2022-02-01;0,69;3;705;En retard
CLI00068;Franáoise Meyer;Femme;65;San Pedro;Immobilier;344827;4167788;6;22,45;Non;2025-02-17;0,73;4;652;En retard
CLI00069;êlÇonore Marin;Homme;24;BouakÇ;Agriculture;609485;4057482;6;21,44;Oui;2022-01-25;0,54;1;714;En retard
CLI00070;Xavier Berger;Femme;26;Korhogo;Transport;600494;1043643;36;20,29;Oui;2025-03-06;0,77;0;723;Actif
CLI00071;Martin Potier;Femme;49;BouakÇ;SantÇ;703594;4986906;24;11,11;Oui;2022-10-22;0,78;0;734;Actif
CLI00072;Alex Lombard-Descamps;Homme;37;San Pedro;SantÇ;250262;1367490;12;8,48;Non;2026-03-10;0,18;6;652;DÇfaut
CLI00073;HonorÇ Imbert;Femme;39;Abidjan;SantÇ;148450;1991763;18;19,14;Non;2024-03-12;0,87;0;693;Actif
CLI00074;Luce Pages de Rousset;Homme;37;BouakÇ;Commerce;494856;3616324;6;15,89;Non;2022-03-07;0,81;0;775;Actif
CLI00075;AndrÇ Pons-Mathieu;Homme;31;Yamoussoukro;Education;725108;4824854;18;13,78;Non;2021-07-14;0,62;3;559;En retard
CLI00076;Guy Sauvage Le Imbert;Femme;49;Abidjan;Agriculture;248698;384376;24;19,69;Oui;2025-10-30;0,76;0;753;Actif
CLI00077;Arthur Guillou;Homme;64;Yamoussoukro;Agriculture;645205;4883910;6;20,26;Non;2022-08-11;0,29;14;439;DÇfaut
CLI00078;Antoine Gros;Femme;61;Yamoussoukro;Transport;1111223;815396;24;11,96;Oui;2025-06-27;0,47;1;771;En retard
CLI00079;GÇrard Colas;Femme;39;San Pedro;Education;919809;4664544;6;14,1;Oui;2023-01-13;0,45;3;689;En retard
CLI00080;Michäle Roger;Homme;63;Abidjan;Agriculture;1048834;3516571;6;8,75;Non;2025-08-24;0,5;4;610;En retard
CLI00081;Gabrielle Bertrand;Femme;56;Daloa;Agriculture;354754;2466163;24;22,62;Oui;2025-06-15;0,63;1;682;En retard
CLI00082;Louis-Lucas Lopes;Femme;56;San Pedro;Commerce;108677;4682620;24;6,86;Oui;2023-11-14;1,19;0;678;SoldÇ
CLI00083;Charles Lacombe de la Rey;Homme;52;San Pedro;Education;692078;4318727;18;13,31;Oui;2022-06-26;0,63;4;705;En retard
CLI00084;Marcel HervÇ;Homme;45;Korhogo;Immobilier;479738;4313433;12;22,28;Non;2021-12-11;0,4;12;444;DÇfaut
CLI00085;Audrey du Guyon;Homme;39;Korhogo;Transport;706116;4973590;36;24,98;Non;2025-08-15;0,64;2;648;En retard
CLI00086;Denis Michaud;Femme;42;Korhogo;Transport;871066;3869707;18;22,39;Oui;2023-11-19;1,18;0;728;SoldÇ
CLI00087;Suzanne Gilbert du Techer;Homme;47;Daloa;SantÇ;171535;2719056;24;19,1;Non;2025-01-06;0,99;0;726;Actif
CLI00088;Julie Regnier du Joseph;Homme;52;Abidjan;Education;157635;1109030;36;24,31;Non;2025-11-25;0,47;1;697;En retard
CLI00089;Maryse Mendäs de Gaudin;Femme;21;Yamoussoukro;Education;382315;3489149;12;6,5;Non;2023-10-16;0,96;0;682;Actif
CLI00090;Alain Lopes du Valentin;Femme;62;Korhogo;Commerce;248433;2806207;36;12,6;Oui;2023-10-21;0,45;4;637;En retard
CLI00091;Martin Maillet;Homme;61;BouakÇ;SantÇ;682677;1958293;6;13,68;Non;2025-03-04;0,21;7;612;DÇfaut
CLI00092;Claudine Le Gall;Femme;22;Korhogo;Transport;176450;2771051;6;10,87;Oui;2022-04-16;0,51;2;688;En retard
CLI00093;Benjamin Le Chauvet;Homme;31;San Pedro;Education;447147;712434;36;22,42;Oui;2024-03-15;0,78;0;709;Actif
CLI00094;Sophie du Simon;Homme;35;Daloa;Education;1047101;2180516;24;10,11;Non;2025-11-07;0,11;13;509;DÇfaut
CLI00095;Bernadette du David;Homme;25;San Pedro;Immobilier;1006374;2948814;36;10,98;Non;2021-11-01;1,16;0;755;SoldÇ
CLI00096;Julie du Costa;Homme;45;Abidjan;SantÇ;1093360;944672;12;12,63;Non;2025-03-09;0,49;3;681;En retard
CLI00097;êmile de la Gros;Femme;38;BouakÇ;Education;96982;4797356;6;23,21;Non;2024-03-22;0,92;0;673;Actif
CLI00098;Nicolas-Guillaume Marty;Femme;35;Yamoussoukro;Transport;478735;2152409;12;17,56;Oui;2025-09-12;1,09;0;736;SoldÇ
CLI00099;TimothÇe Texier;Homme;58;BouakÇ;Agriculture;845169;1152362;6;23,19;Oui;2026-01-04;0,46;4;693;En retard
CLI00100;Raymond de la Descamps;Femme;54;Yamoussoukro;SantÇ;1132339;2336125;12;10,14;Non;2021-12-11;1,01;0;780;SoldÇ
CLI00101;Bernard Barthelemy;Femme;28;Abidjan;Transport;1062162;681656;12;20,08;Non;2022-03-26;0,35;12;502;DÇfaut
CLI00102;Louis VallÇe-Delmas;Homme;37;Daloa;Immobilier;339184;3865021;18;18,46;Non;2023-10-19;0,84;0;678;Actif
CLI00103;Michelle-Marthe Vidal;Homme;64;Korhogo;Agriculture;570360;4005034;6;17,39;Non;2023-02-19;1,14;0;703;SoldÇ
CLI00104;Nathalie Colin-Blanc;Homme;61;San Pedro;Commerce;1053639;2584954;24;7,33;Non;2024-12-06;0,15;6;627;DÇfaut
CLI00105;Susanne Le Lecomte;Homme;36;Korhogo;SantÇ;364508;3310197;24;12,42;Non;2024-08-02;1,14;0;696;SoldÇ
CLI00106;Susanne Allain-Huet;Homme;47;Daloa;Immobilier;287663;4154940;36;13,16;Oui;2025-12-27;1,15;0;703;SoldÇ
CLI00107;Henri Perez;Homme;49;Abidjan;Transport;1012594;2030656;18;6,99;Non;2025-08-29;0,85;0;850;Actif
CLI00108;Vincent Cordier;Femme;33;Abidjan;Immobilier;336187;3864445;6;18,26;Oui;2022-03-08;0,81;0;701;Actif
CLI00109;Mathilde Perret;Homme;29;BouakÇ;Education;510347;625543;36;9,14;Non;2022-09-21;0,34;9;575;DÇfaut
CLI00110;ClÇmence-êlisabeth Foucher;Homme;38;Abidjan;Immobilier;383432;1140453;36;10,01;Oui;2025-04-02;0,29;6;603;DÇfaut
CLI00111;ThÇräse Guyon-Boulay;Homme;58;Daloa;Commerce;758997;182381;12;10,31;Oui;2024-10-19;0,24;12;457;DÇfaut
CLI00112;Christophe Salmon;Femme;49;Daloa;SantÇ;839250;4355352;36;7,18;Oui;2024-10-31;0,65;5;639;En retard
CLI00113;Catherine Carre;Femme;50;Daloa;Transport;145327;560240;24;21,95;Non;2025-10-17;0,57;1;691;En retard
CLI00114;Luc Lemaire;Homme;26;San Pedro;Education;755517;1294314;6;7,52;Non;2024-06-26;0,79;0;850;Actif
CLI00115;Marcel-Henri Pages;Femme;50;San Pedro;Transport;1140217;3658773;6;20,86;Oui;2023-06-06;0,23;14;489;DÇfaut
CLI00116;SÇbastien Richard;Homme;47;Daloa;Immobilier;790791;3854224;24;13,32;Non;2024-07-04;0,2;12;512;DÇfaut
CLI00117;Paulette Renault;Femme;30;BouakÇ;Education;1074611;613155;6;21,64;Non;2022-07-22;0,2;7;659;DÇfaut
CLI00118;Alexandre Huet;Homme;58;Daloa;Commerce;771317;1075350;24;12,07;Non;2025-07-23;0,83;0;719;Actif
CLI00119;Adrienne Girard;Femme;59;Abidjan;Immobilier;735252;2999822;6;16,56;Oui;2026-04-30;0,33;13;529;DÇfaut
